,Unnamed: 0,period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated,cluster_nbr,0,1,2,3,4
0,6803,2021-07-01,2021-07-31,30,county,5,3002,f,"Orange County, VA",,Virginia,VA,Single Family Residential,6,356000.0,0.0,0.2513181019332162,325000.0,-0.0711631894827093,0.1276891047883415,173.7994350282486,-0.0361287803256896,0.1818361581920904,170.22703818369453,-0.0353557572559647,0.1351237131566362,91.0,0.011111111111111,0.0833333333333332,82.0,0.0123456790123457,0.1549295774647887,111.0,0.0673076923076922,0.2613636363636365,153.0,0.125,-0.0838323353293413,1.7,0.2,-0.3,31.0,8.0,-20.0,1.0134391804567702,-0.0051127011017275,0.0200736851285121,0.4945054945054945,-0.0388278388278388,0.1849816849816849,0.1699346405228758,0.0449346405228758,-0.0037180540879026,0.4146341463414633,0.007226738934056,0.0906904843696324,Virginia nonmetropolitan area,,2022-01-09 14:29:56,1,0.3918805503278465,-0.05060545099073091,0.15720875318780558,0.00928948309990803,-0.003390618045000229
1,16181,2021-07-01,2021-07-31,30,county,5,3042,f,"Fairfax City County, VA",,Virginia,VA,Single Family Residential,6,842500.0,0.2344322344322345,0.2218999274836839,599000.0,-0.1442857142857142,0.1094647156880903,270.0359653828778,-0.0582957037334603,0.14475541519017,278.8844621513944,-0.021575687896377,0.0222715694598654,24.0,-0.1428571428571429,0.0909090909090908,22.0,-0.2142857142857143,-0.2142857142857143,27.0,-0.2285714285714285,-0.15625,37.0,0.15625,0.3703703703703705,1.5,0.3999999999999999,0.3,9.0,0.0,-17.0,1.0220345587793127,-0.0129664358578303,0.005431540643545,0.6666666666666666,-0.0119047619047619,0.1666666666666666,0.3513513513513513,0.1638513513513513,0.1661661661661662,0.5454545454545454,-0.0616883116883116,-0.0616883116883116,"Washington, DC",47894.0,2022-01-09 14:29:56,0,-0.12465139201653905,-0.23896767398531132,0.11022746236675658,-0.13277004928077998,0.03937693901689563
2,18476,2021-07-01,2021-07-31,30,county,5,2965,f,"Fairfax County, VA",,Virginia,VA,Single Family Residential,6,800000.0,-0.0419161676646706,0.0540184453227932,589900.0,-0.0408130081300812,0.0259130434782608,299.4791666666667,-0.0169885550786837,0.0977629781420765,297.75603232578874,-0.0020724490223887,0.0580119455196639,1023.0,-0.1524440762220381,0.0108695652173913,820.0,-0.2107795957651588,-0.0060606060606061,1054.0,-0.1388888888888888,0.096774193548387,1288.0,0.1805682859761685,0.0262948207171314,1.3,0.4,0.1,11.0,4.0,-17.0,1.0222111376183167,-0.016522594143324,0.0179146928094806,0.6089931573802542,-0.0886041914184202,0.1554358451272897,0.2600931677018633,0.0061976589942556,0.0481409764668036,0.4487804878048781,-0.1383224958332354,-0.0348558758314855,"Washington, DC",47894.0,2022-01-09 14:29:56,0,-0.2452564353127429,0.03088143660222225,-0.1634364631982158,0.020064717785582033,0.0010934488873081353
3,28014,2021-07-01,2021-07-31,30,county,5,3055,f,"Newport News, VA",,Virginia,VA,Single Family Residential,6,250000.0,0.0,0.0416666666666667,230000.0,0.0004349717268377,0.0,150.88757396449702,-0.0237457034468759,0.1224302630978109,144.64802314368367,-0.0087412194185578,0.0653010743750672,241.0,-0.0622568093385214,0.0041666666666666,233.0,-0.0566801619433198,0.2263157894736842,283.0,-0.0308219178082191,0.4292929292929293,333.0,0.136518771331058,0.3214285714285714,1.4,0.2999999999999998,0.2999999999999998,19.0,2.0,-9.0,1.0210991635517177,0.006863890072386,0.0224267904306375,0.6224066390041494,0.0582043043737992,0.2765733056708161,0.1921921921921921,0.0727382672775164,0.0572715572715572,0.4334763948497854,-0.0604507306562874,0.0913711316918906,"Virginia Beach, VA",47260.0,2022-01-09 14:29:56,3,-0.09240261763172501,0.1405498833379461,-0.1630876412458667,0.10993987171664246,-0.03881228979461353
4,32101,2021-07-01,2021-07-31,30,county,5,2978,f,"Hanover County, VA",,Virginia,VA,Single Family Residential,6,417975.0,0.0175897748021911,0.1740870786516854,350000.0,0.0002857959416975,0.0139240744683779,171.30862007804188,0.0036888409635724,0.1668246262555908,165.17857142857142,-0.0105596114811532,0.0416820084639379,198.0,0.0588235294117647,-0.0341463414634146,167.0,-0.0346820809248554,0.0121212121212122,172.0,-0.0752688172043011,-0.2286995515695067,156.0,-0.0545454545454545,-0.4545454545454546,0.8,-0.0999999999999999,-0.5999999999999999,10.0,2.0,-10.0,1.0260624104480427,-0.0109759985928716,0.0263288270631569,0.5858585858585857,-0.0879382055852644,0.2200049273220005,0.3269230769230769,0.0481351981351981,0.0646853146853146,0.6526946107784432,-0.0120452736146203,0.0042097622935947,"Richmond, VA",40060.0,2022-01-09 14:29:56,0,-0.16241467423926975,-0.19630899522333212,0.027791556370232777,-0.04039890796132954,0.037734209425642595
5,42807,2021-07-01,2021-07-31,30,county,5,3003,f,"Page County, VA",,Virginia,VA,Single Family Residential,6,255000.0,0.1564625850340135,0.2756378189094548,219900.0,-0.0222321031569586,-0.0640561821664184,122.65512265512264,-0.0753547159487296,-0.0034271284271284,150.53071436175875,0.1554249426686349,0.1081927114030942,29.0,-0.0645161290322581,-0.09375,23.0,-0.0416666666666666,-0.0416666666666666,35.0,0.0606060606060605,0.25,69.0,0.1311475409836064,-0.3365384615384616,2.4,0.3999999999999999,-0.8999999999999998,47.0,8.0,-15.0,1.0332509801980103,0.0641153674772949,0.0410496160290717,0.4827586206896552,0.1924360400444938,0.2015086206896552,0.072463768115942,-0.0422903302447137,0.0340022296544035,0.0434782608695652,-0.2065217391304348,-0.1648550724637681,Virginia nonmetropolitan area,,2022-01-09 14:29:56,1,0.6631345311902934,-0.06805482180544367,0.2557908552896923,0.3915177158428469,-0.01197332142983813
6,51020,2021-07-01,2021-07-31,30,county,5,3022,f,"Stafford County, VA",,Virginia,VA,Single Family Residential,6,465500.0,-0.0291970802919707,0.0955518945634266,449900.0,0.0224999999999999,0.2162746688294132,177.45520608423837,0.0149572152866803,0.2382604424550612,173.09044979672618,-0.0117841038756054,0.1481665499951863,290.0,-0.1944444444444444,0.070110701107011,281.0,-0.0174825174825175,0.405,357.0,0.0984615384615383,0.6451612903225808,337.0,0.2435424354243543,0.2527881040892193,1.2,0.3999999999999999,0.2,13.0,6.0,-17.0,1.0260501301296092,-0.0044068574891316,0.0250707954380073,0.6724137931034482,0.000191570881226,0.2997200661661789,0.2670623145400593,-0.0060004160872469,0.1034935413058586,0.5658362989323843,-0.0390588059627206,0.0658362989323843,"Washington, DC",47894.0,2022-01-09 14:29:56,0,-0.19638609756470415,0.026283938333603568,-0.025855802861603144,0.04966491378318634,-0.06583173370961516
7,78325,2021-07-01,2021-07-31,30,county,5,3026,f,"Warren County, VA",,Virginia,VA,Single Family Residential,6,328125.0,-0.0349264705882352,0.193181818181818,305000.0,-0.0699801799054734,0.150943396226415,173.94061354798444,-0.0002523935040804,0.2303780488840215,171.07618613138686,-0.0548473251978411,0.0973759721300597,74.0,-0.2525252525252525,-0.2525252525252525,79.0,0.0675675675675675,0.0,96.0,0.0549450549450549,-0.0588235294117647,164.0,0.0512820512820513,-0.1960784313725489,2.2,0.6000000000000001,0.1,36.0,1.0,-24.0,1.0138557623153046,0.0045972730371095,0.0177650945189445,0.5540540540540541,0.0995085995085995,0.2409227409227409,0.1646341463414634,0.049249530956848,0.0028694404591104,0.2784810126582278,-0.0053027711255559,-0.1392405063291139,"Washington, DC",47894.0,2022-01-09 14:29:56,1,0.45490096986984235,0.012175733399260001,0.006471227420675109,0.1202962499215237,0.010656571621910143
8,95446,2021-07-01,2021-07-31,30,county,5,2982,f,"Isle of Wight County, VA",,Virginia,VA,Single Family Residential,6,400000.0,-0.0123456790123457,0.1619462599854757,333230.0,-0.0992566563049061,0.0099409001363843,155.15659775026143,-0.0096387377642886,0.1514252780414138,161.24119050805118,0.0008448075146458,0.1002144649487624,54.0,-0.1692307692307691,-0.15625,55.0,-0.0350877192982456,-0.0517241379310344,68.0,0.1929824561403508,-0.0422535211267606,85.0,0.1038961038961039,-0.3971631205673759,1.6,0.4000000000000001,-0.6000000000000001,22.0,1.0,-18.0,1.0147174620319654,0.0068016326173914,0.0392557816433335,0.5555555555555556,0.0632478632478632,0.2743055555555556,0.1647058823529411,-0.0041252864782276,-0.0055068836045056,0.4181818181818181,0.067304625199362,0.0733542319749215,"Virginia Beach, VA",47260.0,2022-01-09 14:29:56,3,0.12668246079588924,-0.03771655395404055,-0.03173929585019569,-0.011738270732177229,0.009734656020687947
9,105696,2021-07-01,2021-07-31,30,county,5,2966,f,"Fauquier County, VA",,Virginia,VA,Single Family Residential,6,530000.0,0.0316301703163017,0.0602120424084817,485000.0,-0.03,0.0777777777777777,212.47240618101543,0.0444426713476422,0.1758670268386197,206.8672411324031,0.0112265653923475,0.15031274330918,136.0,-0.0684931506849315,-0.15527950310559,134.0,0.072,0.2641509433962264,131.0,-0.191358024691358,0.1293103448275863,189.0,-0.0597014925373133,-0.1957446808510637,1.4,0.0,-0.1,31.0,12.0,-11.0,1.0055769305542568,-0.0099685002049558,0.0138968030290403,0.5147058823529411,-0.0743352135374698,0.2165692363902082,0.2275132275132275,0.0583589986575061,0.0232579083642913,0.3432835820895522,-0.1367164179104477,0.0602647141650239,"Washington, DC",47894.0,2022-01-09 14:29:56,3,0.2568565839586669,0.2243069583332453,-0.23030344846080134,0.07322982338724734,-0.0056085407173818375
