,Unnamed: 0,period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated,cluster_nbr,0,1,2,3,4
0,3631,2021-07-01,2021-09-30,90,zip code,2,8957,f,Zip Code: 22645,,Virginia,VA,Single Family Residential,6,524061.5,-0.0081871732393367,0.5083076701683695,504450.0,-0.043696682464455,0.2627824019024971,185.29241284299087,0.020652374076808,0.1702042863509301,179.7308067252976,0.0217798700668339,0.0523757852620561,22.0,0.1,-0.2142857142857143,4.0,-0.6363636363636364,-0.5,20.0,-0.1666666666666666,-0.2857142857142857,7.0,-0.2222222222222222,-0.4615384615384616,,,,33.0,-3.0,-12.0,1.0057163024195732,-0.0031484713846861,0.0048411360597973,0.4090909090909091,0.009090909090909,0.0519480519480519,,,,0.25,-0.1136363636363636,-0.25,"Winchester, VA",49020,2022-01-09 14:29:56,3,0.37053949318440593,-0.3258499676831821,0.44456679638792085,0.0524623796520389,-0.17713208766545685
1,91574,2021-07-01,2021-09-30,90,zip code,2,8920,f,Zip Code: 22554,,Virginia,VA,Single Family Residential,6,492800.0,-0.0143014301430143,0.1092853123241417,509950.0,0.0219438877755511,0.1592407365310297,168.36734693877554,-0.0238314680710993,0.1832669322709164,169.49685534591194,-0.0017630550995155,0.1480079146350079,350.0,-0.125,0.1513157894736842,95.0,-0.1592920353982301,-0.0306122448979592,346.0,-0.1195928753180661,0.2958801498127341,135.0,-0.0492957746478873,0.7763157894736843,,,,16.0,6.0,-13.0,1.0199419856575334,-0.00857113730681,0.0163863722459498,0.6142857142857143,-0.0657142857142857,0.1866541353383459,,,,0.4105263157894737,0.0653935724266418,-0.1404940923737915,"Washington, DC",47894,2022-01-09 14:29:56,2,-0.09413313648082706,0.1747535117526715,-0.021698275150018608,-0.052027343329543736,-0.020250849146397954
2,94189,2021-07-01,2021-09-30,90,zip code,2,9337,f,Zip Code: 23457,,Virginia,VA,Single Family Residential,6,545000.0,0.0046082949308756,-0.0061663276386967,625000.0,0.0461126454096576,0.1081560283687943,211.3636363636364,-0.0072204632940801,0.1233699887180086,222.26173541963016,0.0502964807720105,0.0218112849691796,23.0,0.0454545454545454,-0.1785714285714286,2.0,-0.6666666666666667,0.0,17.0,-0.2916666666666666,-0.1052631578947368,10.0,0.0,-0.2857142857142857,,,,35.5,15.5,-30.0,0.9934781948209156,-0.0087024172536016,0.0172261914269723,0.391304347826087,-0.0632411067193675,0.2841614906832298,,,,0.0,-0.5,-0.5,"Virginia Beach, VA",47260,2022-01-09 14:29:56,3,0.5582803740858596,-0.22723297307903442,-0.14648480519879867,-0.03557032358169436,0.04245382965606802
3,116365,2021-07-01,2021-09-30,90,zip code,2,7876,f,Zip Code: 20165,,Virginia,VA,Single Family Residential,6,768750.0,-0.0207006369426752,0.151685393258427,724900.0,-0.0461842105263158,0.1154023695953223,228.28742707214735,0.0118233947153785,0.0686892947816655,232.62872208436727,0.0317987613847559,0.0947233980440811,80.0,-0.2380952380952381,-0.1304347826086956,23.0,0.0,-0.2333333333333333,79.0,-0.1413043478260869,-0.0481927710843373,24.0,0.0434782608695651,0.263157894736842,,,,13.0,6.0,-8.0,1.0197782411926846,-0.0091333724687125,0.0131506893911692,0.725,-0.0178571428571429,0.192391304347826,,,,0.391304347826087,-0.0869565217391304,0.1246376811594203,"Washington, DC",47894,2022-01-09 14:29:56,0,-0.17358863918240278,-0.12437554474879149,0.01774828500602522,0.03373764080377679,-0.08383012439540334
4,119828,2021-07-01,2021-09-30,90,zip code,2,8730,f,Zip Code: 22025,,Virginia,VA,Single Family Residential,6,551000.0,-0.0221827861579414,0.1407867494824015,546500.0,-0.0045537340619308,0.1535620052770447,186.2803075103489,-0.0497859957491905,0.0976208888686713,185.799601857996,0.0,0.1097901196669861,73.0,-0.2843137254901961,-0.0875,19.0,-0.1739130434782608,-0.4411764705882353,83.0,-0.0674157303370787,0.0375,29.0,0.1599999999999999,0.2608695652173913,,,,11.0,5.0,-18.0,1.0182818168716992,-0.0116532916611777,0.0089273790966948,0.589041095890411,-0.1266451786193929,0.0015410958904109,,,,0.4736842105263158,0.1693363844393592,0.0030959752321981,"Washington, DC",47894,2022-01-09 14:29:56,0,-0.19971247252838145,-0.04835350438538937,-0.024528141499755487,0.05699595460773407,-0.10162944318425149
5,166114,2021-07-01,2021-09-30,90,zip code,2,9354,f,Zip Code: 23487,,Virginia,VA,Single Family Residential,6,300000.0,-0.0697674418604651,-0.0069924283172658,249950.0,-0.0368015414258189,-0.1668333333333332,159.9488163787588,-0.0158545727766572,0.123753118675046,151.82153579731016,-0.0200720970715438,0.0698917919781745,25.0,0.25,0.25,5.0,-0.4444444444444444,0.25,18.0,-0.0999999999999999,-0.1428571428571429,4.0,-0.5555555555555556,-0.75,,,,12.0,-2.0,-18.5,0.9833253505360816,-0.004945750522005,-0.0030789501041921,0.28,-0.0199999999999999,0.08,,,,0.0,-0.3333333333333333,-0.25,"Virginia Beach, VA",47260,2022-01-09 14:29:56,1,0.13813101022923366,-0.09874172653051315,-0.32009271669146916,0.46480819821078767,0.010239537195702617
6,177476,2021-07-01,2021-09-30,90,zip code,2,7888,f,Zip Code: 20180,,Virginia,VA,Single Family Residential,6,622500.0,0.0040322580645162,0.0383653044203502,599950.0,0.0015859766277128,0.034574926711502,203.2954151131689,0.0946676198401403,0.2133025329482177,211.46592934782768,0.0019640216007981,0.09789882073407,50.0,0.0,-0.0909090909090909,11.0,-0.5,0.0,59.0,-0.0923076923076923,0.5945945945945945,26.0,0.1304347826086955,0.0833333333333332,,,,26.0,0.0,-19.0,1.011874581808113,-0.0073452941723217,-0.0015720212394738,0.56,0.0,0.16,,,,0.3636363636363637,0.0,0.0909090909090909,"Washington, DC",47894,2022-01-09 14:29:56,2,0.21059397653388717,0.3128537976455478,-0.1451556101138261,-0.251047101216139,-0.10517077701207048
7,180009,2021-07-01,2021-09-30,90,zip code,2,9163,f,Zip Code: 23124,,Virginia,VA,Single Family Residential,6,352050.0,0.020065193770373,0.3311277058323092,350000.0,0.0295631710545667,0.1551155115511551,166.1478272935459,0.0028965698094516,-0.02269179327236,171.47117296222663,0.0082991022053835,0.1565398817860546,42.0,-0.125,1.3333333333333337,7.0,-0.3636363636363637,0.75,36.0,0.2,0.1612903225806452,19.0,0.3571428571428572,-0.525,,,,8.5,1.5,-80.5,1.009738523574125,-0.0028030166080019,-0.0036024129503451,0.4285714285714285,-0.0922619047619048,0.3730158730158729,,,,0.8571428571428571,0.3116883116883117,0.6071428571428571,"Richmond, VA",40060,2022-01-09 14:29:56,2,-0.17598866008698974,0.3830465788267526,0.318132727235079,0.5042992271329139,0.17758998246189342
8,188157,2021-07-01,2021-09-30,90,zip code,2,7850,f,Zip Code: 20132,,Virginia,VA,Single Family Residential,6,740000.0,-0.0133333333333333,0.1598746081504702,749000.0,0.0715307582260371,0.1721439749608764,206.7120622568093,-0.0841851281189036,0.0982411823773064,226.42098688319803,0.1243216951802856,0.2058069144969056,79.0,-0.1123595505617978,-0.2254901960784313,22.0,-0.1538461538461538,-0.4358974358974359,81.0,-0.1382978723404255,-0.1195652173913043,38.0,0.1875,-0.2962962962962963,,,,26.5,6.0,-6.0,1.028240634898084,-0.0035130174570416,0.0269893610443519,0.5949367088607594,-0.0230408192291281,0.1831720029784064,,,,0.5454545454545454,0.2377622377622377,0.1608391608391607,"Washington, DC",47894,2022-01-09 14:29:56,1,0.040296421959452794,-0.23349043903142314,0.17098593328752984,-0.22157190687547654,0.017988226220508594
9,192537,2021-07-01,2021-09-30,90,zip code,2,8795,f,Zip Code: 22193,,Virginia,VA,Single Family Residential,6,450000.0,0.0,0.0975609756097561,449950.0,0.0214528944381384,0.1540138497050525,213.7279079325935,-0.0028315000763464,0.1774464746104695,208.10210876803555,-0.0147085581861042,0.0892658950372602,279.0,-0.0071174377224199,0.1481481481481481,82.0,-0.1458333333333333,0.3225806451612902,288.0,-0.0649350649350649,0.2360515021459228,87.0,0.0,0.3384615384615384,,,,17.0,8.0,-4.0,1.02220230413977,-0.0079298758641144,0.0098695601357094,0.6666666666666666,-0.0308422301304863,0.1028806584362139,,,,0.451219512195122,0.0137195121951219,-0.0971675845790715,"Washington, DC",47894,2022-01-09 14:29:56,2,-0.09477906987842938,0.12563509504594586,-0.010676418840873572,-0.07646316541295574,0.018701535795156474
