,Unnamed: 0,period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated,cluster_nbr,0,1,2,3,4
0,66670,2021-07-01,2021-09-30,90,neighborhood,1,87269,f,"Richmond, VA - Midlothian",Richmond,Virginia,VA,Single Family Residential,6,238000.0,-0.0082300239608292,0.1279620853080569,252474.5,0.1025087336244541,0.2379235106643784,171.09144542772864,-0.010257485015965,0.0931874022581638,174.25319845668332,0.0036984231104959,0.1261223335509842,71.0,0.0142857142857142,0.4791666666666667,22.0,0.0,0.8333333333333331,70.0,-0.0140845070422535,0.3461538461538462,17.0,-0.2916666666666666,0.3076923076923077,,,,11.5,3.0,5.5,1.0318881687859438,-0.0174372111290326,0.0088328690775696,0.732394366197183,-0.0818913480885311,0.1907276995305164,,,,0.4090909090909091,-0.1363636363636363,-0.3409090909090909,"Richmond, VA",40060,2022-01-09 14:29:56,1,-0.35353422823577857,0.06499384282145183,0.05415796022707446,0.1546660591061543,-0.03240075717261122
1,209009,2021-07-01,2021-09-30,90,neighborhood,1,60852,f,"Norfolk, VA - Colonial Place",Norfolk,Virginia,VA,Single Family Residential,6,339900.0,0.0707197983934477,0.0303122158229767,362450.0,0.1084097859327217,0.1152307692307692,185.5,-0.0038018996950951,0.0875125215587506,177.68875611080935,-0.0457090133645788,0.0438662303007018,25.0,0.1363636363636364,0.5625,3.0,-0.5714285714285714,-0.5,22.0,-0.2666666666666667,0.0,11.0,-0.0833333333333333,0.1,,,,15.0,0.0,-5.5,1.0206121036446518,-0.0065868854056863,0.0109146505623618,0.56,-0.0309090909090908,0.185,,,,0.3333333333333333,-0.2380952380952381,-0.1666666666666666,"Virginia Beach, VA",47260,2022-01-09 14:29:56,1,-0.08768722934815416,-0.06435738816792784,0.1645330519403409,0.34320931612256983,0.044960214532808206
2,229908,2021-07-01,2021-09-30,90,neighborhood,1,179926,f,"Norfolk, VA - Snug Harbor",Norfolk,Virginia,VA,Single Family Residential,6,290000.0,0.0,0.1623246492985972,260000.0,0.0003847633705271,0.0878661087866108,178.30777967064168,0.0,0.1946562571777505,169.14749661705008,-0.0101064164889065,0.1211627464611873,23.0,0.0,0.0454545454545454,3.0,-0.25,-0.7,19.0,-0.24,-0.3448275862068966,9.0,0.8,0.5,,,,15.5,1.5,-4.0,1.0228015200480598,-6.577608531888046e-05,0.0341650375386347,0.6521739130434783,0.0,0.2885375494071146,,,,0.6666666666666666,0.4166666666666666,0.3666666666666665,"Virginia Beach, VA",47260,2022-01-09 14:29:56,1,0.016326977852332572,-0.3095230797225993,0.20643252577253982,-0.0959476177689311,0.03699866746855215
3,235414,2021-07-01,2021-09-30,90,neighborhood,1,65905,f,"Hampton, VA - Wythe",Hampton,Virginia,VA,Single Family Residential,6,213500.0,-0.0511111111111111,0.0249639942390782,200000.0,-0.0697674418604651,-0.0697674418604651,144.53678631099845,0.0339939328402196,0.1808757864508419,144.97041420118344,0.0097496323894799,0.169256590586746,90.0,0.0112359550561798,-0.0909090909090909,36.0,0.125,0.894736842105263,109.0,-0.0267857142857143,0.1122448979591836,49.0,-0.0925925925925925,-0.1551724137931034,,,,24.0,3.0,-11.5,1.0078006609387915,0.0045304733200415,0.0141444236529408,0.5555555555555556,0.0274656679151061,0.2727272727272728,,,,0.3611111111111111,-0.0763888888888889,-0.0073099415204678,"Virginia Beach, VA",47260,2022-01-09 14:29:56,2,0.35632036629641206,-0.0011867451700827325,-0.09079273100098098,0.0685448534288578,-0.04729890465228078
4,321945,2021-07-01,2021-09-30,90,neighborhood,1,223055,f,"Poquoson, VA - Central Poquoson",Poquoson,Virginia,VA,Single Family Residential,6,392000.0,-0.0374462860650706,0.0453333333333332,375000.0,-0.0079365079365079,-0.106930221481305,175.80759258566746,0.0060706202070091,0.0699892549459544,180.3179190751445,0.0496117677508412,0.0882243842273848,28.0,-0.0666666666666666,0.2173913043478261,5.0,-0.1666666666666666,-0.2857142857142857,20.0,-0.2,-0.2,12.0,0.0,-0.3333333333333333,,,,23.0,4.0,-29.0,1.0065313798586195,-0.0011558533891624,0.0200403228273656,0.5,-0.0333333333333333,0.4130434782608696,,,,0.2,0.0333333333333333,-0.2285714285714285,"Virginia Beach, VA",47260,2022-01-09 14:29:56,2,0.3162031924198265,-0.08909692344795558,0.1771668385214878,0.15822528012929746,0.043945747235363736
5,351701,2021-07-01,2021-09-30,90,neighborhood,1,208318,f,"Manassas Park, VA - Bloom Crossing",Manassas Park,Virginia,VA,Single Family Residential,6,555000.0,0.004524886877828,0.1935483870967742,549900.0,0.0,0.1699999999999999,200.4062288422478,-0.0176697835102365,0.2057774768675242,196.42857142857144,0.0551918530641932,0.2150548547492096,23.0,0.1499999999999999,0.3529411764705883,4.0,-0.5555555555555556,-0.4285714285714286,19.0,-0.1739130434782608,0.0555555555555555,3.0,-0.25,-0.25,,,,6.0,1.5,-23.0,1.0302402307227954,0.0006367068469519,0.020495187119675,0.6521739130434783,-0.0478260869565216,0.1227621483375959,,,,0.25,-0.1944444444444444,-0.3214285714285714,"Washington, DC",47894,2022-01-09 14:29:56,1,-0.4559243287723352,-0.1626477427409516,0.11822742151078339,-0.0014921877269342936,0.11661674048872414
6,410428,2021-07-01,2021-09-30,90,neighborhood,1,180009,f,"Norfolk, VA - Estabrook",Norfolk,Virginia,VA,Single Family Residential,6,241250.0,-0.0051546391752577,0.2107904642409032,239900.0,-0.0107216494845361,0.1705293974140034,155.2812974936825,0.0016950425588335,0.116832395162826,156.4625850340136,0.0097052154195012,0.0748321752443763,24.0,-0.0769230769230768,-0.2,5.0,-0.5,-0.2857142857142857,31.0,0.0689655172413792,0.7222222222222222,13.0,0.3,1.6,,,,21.0,1.5,0.0,1.0158485240516213,0.0049952861665143,0.0219046348346096,0.4166666666666666,-0.1602564102564102,0.0833333333333333,,,,0.0,-0.3,-0.2857142857142857,"Virginia Beach, VA",47260,2022-01-09 14:29:56,0,0.020842630141399223,0.32829710260179323,-0.23417786588912695,-0.2794229499385707,-0.11450586546378105
7,577500,2021-07-01,2021-09-30,90,neighborhood,1,63842,f,"Newport News, VA - Windsor Great Park",Newport News,Virginia,VA,Single Family Residential,6,276500.0,0.0737864077669903,0.1520833333333333,281450.0,0.0234545454545453,0.1374014952515658,156.37207019314158,0.0036888015810063,0.1306408532072007,150.35733921294118,-0.0116678665124242,0.1072714876263811,30.0,0.25,0.0344827586206897,10.0,0.25,1.5,28.0,0.0370370370370369,0.75,9.0,-0.25,0.8,,,,19.0,3.0,-13.5,0.999106255103824,-0.0136261543540214,0.0177407290807063,0.5333333333333333,-0.0916666666666666,0.2919540229885057,,,,0.3,-0.075,0.3,"Virginia Beach, VA",47260,2022-01-09 14:29:56,0,0.027877977683048987,0.39598035454486924,-0.23335596747263915,-0.08296429868236063,0.09493500637711844
8,625493,2021-07-01,2021-09-30,90,neighborhood,1,63612,f,"Hampton, VA - Fox Hill",Hampton,Virginia,VA,Single Family Residential,6,274000.0,0.0508149568552254,0.1567282321899736,275000.0,0.0377358490566037,0.1463109629012089,153.3104007214937,-0.0036084323268784,0.1896278209972556,152.88220551378447,0.0107532983401901,0.1332440132063275,86.0,-0.0444444444444444,0.4333333333333333,18.0,-0.1818181818181817,0.0,67.0,-0.1728395061728395,0.0,24.0,0.0,-0.1724137931034483,,,,17.5,-1.5,-5.0,1.0174871383616653,-0.006321058715643,0.0162483275368605,0.5116279069767442,-0.0883720930232557,0.0616279069767442,,,,0.3888888888888889,-0.2474747474747474,0.0555555555555555,"Virginia Beach, VA",47260,2022-01-09 14:29:56,1,-0.049700457417331326,0.017697745588202064,0.24848321183966232,0.07049063134455695,0.04622496004501531
9,630923,2021-07-01,2021-09-30,90,neighborhood,1,180510,f,"Chesapeake, VA - Pleasant Grove",Chesapeake,Virginia,VA,Single Family Residential,6,470000.0,-0.0015932023366967,0.1340015900149953,450000.0,0.0,0.1029411764705883,185.3881278538813,0.0167115799295429,0.1587595175818008,187.4995,0.0292335322195704,0.1489099797101449,317.0,-0.133879781420765,-0.0890804597701149,68.0,-0.4137931034482759,-0.1807228915662651,302.0,-0.0958083832335329,-0.0591900311526479,110.0,0.1111111111111111,-0.0178571428571429,,,,16.0,2.0,-8.0,1.0189137203718346,-0.0062386835582346,0.0201840324760468,0.6529968454258676,-0.0355277447380668,0.2593186845063273,,,,0.3529411764705882,-0.112576064908722,0.0637845499645641,"Virginia Beach, VA",47260,2022-01-09 14:29:56,2,0.0404527983114152,-0.1864488810385849,0.007973039845872625,-0.10148362711453707,0.02148306511187216
