"MLS #","Cat","Status","Address","City","County","Beds","Baths","Structure Type","Status Contractual Search Date","Current Price","List Price","HOA Fee","Building Name","Lot Size Acres","Main Level Bedrooms","Main Level Full Baths","Main Level Half Baths","Municipality","Pool","Price/SqFt","RATIO Close Price By List Price","RATIO Close Price By Original List Price","Selling Office Name","Total SQFT","Year Built","Zip Code","Legal Subdivision","Age","Original List Price","Above Grade Finished SQFT","DOM","List Agent Full Name","Selling Agent Full Name","List Office Name"
"1000194507","RES","CLS","421 Washington St S","Alexandria","Alexandria City, VA","3","1/1","Interior Row/Townhouse","09/20/17","$720,000","$745,000.00","","","0.04","0","0","1","","No Pool","$497.24","0.96644","0.96644","Weichert, REALTORS","2,148","1880","22314","","142","$745,000","1,448","10","Judith M Pisciotta","Richard F Lane","Long & Foster Real Estate, Inc. (LNG183)"
"1004302549","RES","CLS","320 West St #108","Alexandria","Alexandria City, VA","2","2/0","Unit/Flat/Apartment","09/20/17","$650,000","$650,000.00","","DUKE CONDOMINIUM","","2","2","0","","No Pool","$442.18","1.00000","1.00000","McEnearney Associates, Inc.","1,470","2010","22314","DUKE CONDOMINIUM","12","$650,000","1,470","0","Lisa W Groover","Lisa W Groover","McEnearney Associates, Inc. (MCE1)"
"1000194447","RES","CLS","1200 Abingdon Dr W","Alexandria","Alexandria City, VA","2","1/1","End of Row/Townhouse","09/21/17","$611,000","$624,000.00","$548.00","NETHERGATE","0.02","0","0","0","","No Pool","$636.46","0.97917","0.97917","City Chic Real Estate","1,440","1984","22314","VIRGINIA VILLAGE","38","$624,000","960","81","Elizabeth H Lucchesi","Ronald Edwards II","Long & Foster Real Estate, Inc. (LNG183)"
"1000156273","RES","CLS","1250 Washington St S #117","Alexandria","Alexandria City, VA","3","3/0","Unit/Flat/Apartment","09/21/17","$1,070,000","$1,099,000.00","$0.00","PORTO VECCHIO","","3","3","0","","Yes - Community, Yes - Personal","$570.06","0.97361","0.97361","Long & Foster Real Estate, Inc.","1,877","1983","22314","PORTO VECCHIO","39","$1,099,000","1,877","24","Julia s Martin","Mary K Taylor","Long & Foster Real Estate, Inc. (LNG183)"
"1000183075","RES","CLS","521 Saint Asaph St N","Alexandria","Alexandria City, VA","4","4/2","Interior Row/Townhouse","09/21/17","$3,149,900","$3,149,900.00","$169.00","BRIGHTLEAF & COOPER","0.04","0","0","1","","No Pool","$749.98","1.00000","1.00000","McWilliams/Ballard Inc.","5,500","2017","22314","","5","$3,149,900","4,200","13","Robert J Test","Robert J Test","McWilliams/Ballard Inc. (MCWB1)"
"1000183067","RES","CLS","311 Royal St S","Alexandria","Alexandria City, VA","3","1/1","End of Row/Townhouse","09/22/17","$685,000","$700,000.00","","","0.06","0","0","1","","No Pool","","0.97857","0.97857","Long & Foster Real Estate, Inc.","","1840","22314","","182","$700,000","","23","Tiana C Hickman","Elfie M Biankini","Long & Foster Real Estate, Inc. (LNG183)"
"1000194409","RES","CLS","1312 Duke St","Alexandria","Alexandria City, VA","3","3/1","Interior Row/Townhouse","09/22/17","$805,000","$829,000.00","$0.00","DUKE CONDOMINIUM","","0","0","1","","No Pool","$415.81","0.97105","0.97105","McEnearney Associates, Inc.","1,936","2010","22314","DUKE CONDOMINIUM","12","$829,000","1,936","49","Irina Babb","Gordon E Wood","RE/MAX Allegiance (RMAX127)"
"1000194473","RES","CLS","817 Bernard St","Alexandria","Alexandria City, VA","3","3/1","End of Row/Townhouse","09/25/17","$670,000","$675,000.00","","","0.07","0","0","1","","No Pool","$492.65","0.99259","0.99259","Weichert, REALTORS","1,860","1979","22314","BASHFORD LANE CLUSTER","43","$675,000","1,360","6","Michael T Chambers","Christine R Garner","McGrath RE Services, A Long & Foster Company (MRES1)"
"1000194467","RES","CLS","920 Slaters Ln #0","Alexandria","Alexandria City, VA","3","2/1","Interior Row/Townhouse","09/25/17","$750,000","$775,003.00","$1,250.00","POTOMAC YARD","","0","0","1","","No Pool","$395.57","0.96774","0.95419","McEnearney Associates, Inc.","1,896","2017","22314","","5","$786,003","1,896","54","Shawn M Evans","Robin S Arnold","Monument Sotheby's International Realty (MONUM1)"
"1000156275","RES","CLS","601 Wilkes St #301","Alexandria","Alexandria City, VA","2","2/0","Unit/Flat/Apartment","09/26/17","$503,500","$520,000.00","","TANNERY HOUSE","","2","2","0","","No Pool","$402.48","0.96827","0.96827","McEnearney Associates, Inc.","1,251","1978","22314","TANNERY HOUSE","44","$520,000","1,251","40","Donna J Turner","Sue S Goodhart","Chatel Real Estate, Inc. (CHL1)"
