"MLS #","Cat","Status","Address","City","County","Beds","Baths","Structure Type","Status Contractual Search Date","Current Price","List Price","HOA Fee","Building Name","Lot Size Acres","Main Level Bedrooms","Main Level Full Baths","Main Level Half Baths","Municipality","Pool","Price/SqFt","RATIO Close Price By List Price","RATIO Close Price By Original List Price","Selling Office Name","Total SQFT","Year Built","Zip Code","Legal Subdivision","Age","Original List Price","Above Grade Finished SQFT","DOM","List Agent Full Name","Selling Agent Full Name","List Office Name"
"1004073827","RES","CLS","210 Payne St N","Alexandria","Alexandria City, VA","0","1/0","Twin/Semi-Detached","12/21/17","$385,000","$399,900.00","","","0.03","0","1","0","","No Pool","$705.13","0.96274","0.90588","KW Metro Center","546","1910","22314","","112","$425,000","546","18","Peter J Braun Jr.","Christine Sennott","Long & Foster Real Estate, Inc. (LNG183)"
"1001773569","RES","CLS","1115 Cameron St #409","Alexandria","Alexandria City, VA","2","2/0","Unit/Flat/Apartment","12/21/17","$599,000","$615,000.00","","PRESCOTT CONDOMINIUM","","2","2","0","","No Pool","$563.50","0.97398","0.97398","McEnearney Associates, Inc.","1,063","2007","22314","THE PRESCOTT","15","$615,000","1,063","29","Debbie P Kent","Sue S Goodhart","Cottage Street Realty LLC (CTST1)"
"1004112615","RES","CLS","1353 Powhatan St #10","Alexandria","Alexandria City, VA","3","3/2","End of Row/Townhouse","12/22/17","$925,990","$925,990.00","","POWHATAN TOWNHOME CONDOMINIUM","","0","0","1","","No Pool","$487.36","1.00000","1.00000","Comstock Homes, Inc.","1,900","2017","22314","","5","$925,990","1,900","36","Frank J Gstrein","Frank J Gstrein","Comstock Homes, Inc. (CST1)"
"1003868475","RES","CLS","1003 Pendleton St","Alexandria","Alexandria City, VA","2","2/1","Interior Row/Townhouse","12/26/17","$717,000","$724,900.00","$100.00","KINGS ROWE","0.07","0","0","0","","No Pool","","0.98910","0.98910","RE/MAX Allegiance","","1979","22314","KINGS ROWE","43","$724,900","","20","Mary K Taylor","Michael S Webb","Long & Foster Real Estate, Inc. (LNG183)"
"1001005225","RES","CLS","916 Slaters Ln","Alexandria","Alexandria City, VA","3","2/1","Interior Row/Townhouse","12/27/17","$779,990","$779,990.00","$1,250.00","POTOMAC YARD","","0","0","1","","No Pool","$410.52","1.00000","0.96667","TTR Sotheby's International Realty","1,900","2017","22314","","5","$806,882","1,900","69","Shawn M Evans","Sharon Wildberger","Monument Sotheby's International Realty (MONUM1)"
"1001013105","RES","CLS","627 Tivoli Passage Way","Alexandria","Alexandria City, VA","3","3/1","Interior Row/Townhouse","12/27/17","$900,000","$909,900.00","$500.00","","0.03","0","0","0","","No Pool","$426.94","0.98912","0.96257","Samson Properties","2,108","1998","22314","PORTNERS LANDING","24","$935,000","2,108","42","Barbara G Beckwith","Christopher C Prawdzik","McEnearney Associates, Inc. (MCE1)"
"1004418871","RES","CLS","1116 Princess St","Alexandria","Alexandria City, VA","2","1/1","Detached","12/28/17","$490,000","$490,000.00","","","0.03","0","0","1","","No Pool","","1.00000","1.00000","Long & Foster Real Estate, Inc.","","1920","22314","","102","$490,000","","0","Non Member","Joan M Reimann","Metropolitan Regional Information Systems, Inc. (MRIS1)"
"1000082735","RES","CLS","815 Patrick St N #210","Alexandria","Alexandria City, VA","1","1/0","Unit/Flat/Apartment","12/28/17","$350,000","$365,000.00","","OLD TOWN COMMONS","","1","1","0","","No Pool","$546.88","0.95890","0.92105","KW Metro Center","640","2013","22314","","9","$380,000","640","109","Beverly L Tatum","Robert E Kenney","Weichert, REALTORS (WEI58)"
"1003962367","RES","CLS","712 Upland Pl","Alexandria","Alexandria City, VA","4","2/0","Detached","12/28/17","$575,000","$610,000.00","","","0.11","2","1","0","","No Pool","$532.41","0.94262","0.94262","RE/MAX Allegiance","1,080","1940","22314","GLENMORE","82","$610,000","1,080","33","Robert A Blitzer","Deborah Davis","RE/MAX Allegiance (RMAX127)"
"1003768999","RES","CLS","509 Oronoco St","Alexandria","Alexandria City, VA","4","4/1","Interior Row/Townhouse","12/28/17","$1,925,000","$1,995,000.00","$84.00","","0.04","0","0","1","","No Pool","$807.81","0.96491","0.96491","McWilliams/Ballard Inc.","3,144","2016","22314","","6","$1,995,000","2,383","36","Robert J Test","Robert J Test","McWilliams/Ballard Inc. (MCWB1)"
"1004070357","RES","CLS","1210 Wilkes St","Alexandria","Alexandria City, VA","2","1/1","End of Row/Townhouse","12/29/17","$565,000","$559,000.00","","","0.04","0","0","0","","No Pool","","1.01073","1.01073","Coldwell Banker Realty","","1940","22314","CAVALIER HOMES","82","$559,000","","6","Jillian Keck Hogan","Virginia Amos","McEnearney Associates, Inc. (MCE1)"
"1002759035","RES","CLS","908 Pendleton St","Alexandria","Alexandria City, VA","2","2/0","Interior Row/Townhouse","12/29/17","$590,000","$600,000.00","","","0.03","0","1","0","","No Pool","","0.98333","0.95315","TTR Sotheby's International Realty","","1901","22314","","121","$619,000","","50","Stephanie L Rorrer","Greg Doherty","TTR Sothebys International Realty (TTRS3)"
"1004378783","RES","CLS","1116 Princess St","Alexandria","Alexandria City, VA","2","1/1","Interior Row/Townhouse","12/29/17","$490,000","$484,900.00","","","1,000.00","0","0","1","","No Pool","$490.00","1.01052","1.01052","Long & Foster Real Estate, Inc.","1,000","1920","22314","","102","$484,900","1,000","1","Eileen Sheila Marousek","Joan M Reimann","Coldwell Banker Residential Brokerage (CBRB54)"
"1001819251","RES","CLS","316 Lee St S","Alexandria","Alexandria City, VA","2","2/1","Interior Row/Townhouse","12/29/17","$1,000,000","$1,050,000.00","","","0.04","0","0","1","","No Pool","$581.40","0.95238","0.95238","Long & Foster Real Estate, Inc.","2,056","1830","22314","","192","$1,050,000","1,720","35","Lauren A Bishop","Lucinda O Jones","McEnearney Associates, Inc. (MCE1)"
"1001820295","RES","CLS","1019 Vernon St","Alexandria","Alexandria City, VA","3","2/0","End of Row/Townhouse","12/29/17","$451,000","$450,000.00","","","0.06","0","1","0","","No Pool","$182.59","1.00222","1.00222","Long & Foster Real Estate, Inc.","2,470","1940","22314","WESTOVER","82","$450,000","2,470","13","Ryan Gehris","Mary Bowen","USRealty.com LLP (HPADCOM)"
"1000083503","RES","CLS","311 Pitt St S","Alexandria","Alexandria City, VA","3","3/2","Interior Row/Townhouse","12/29/17","$915,000","$910,000.00","","","0.06","1","1","1","","No Pool","$351.92","1.00549","0.91500","Keller Williams Capital Properties","2,850","1961","22314","","61","$1,000,000","2,600","89","Suzanne Welch","John M Barry Jr.","KW Metro Center (KWR19)"
"1000082649","RES","CLS","922 Washington St #101","Alexandria","Alexandria City, VA","0","1/0","Unit/Flat/Apartment","01/02/18","$176,000","$181,500.00","","BEARINGS SOUTH","","0","1","0","","No Pool","$484.85","0.96970","0.90256","Century 21 Redwood Realty","363","1941","22314","BEARINGS SOUTH","81","$195,000","363","124","Marja R Toan","Peter S Locke","Fairfax Realty of Tysons (FRX2)"
"1002787011","RES","CLS","1015 Princess St","Alexandria","Alexandria City, VA","2","1/1","Twin/Semi-Detached","01/02/18","$570,000","$575,000.00","","","0.02","0","0","1","","No Pool","$602.54","0.99130","0.99130","Advon Real Estate, LLC","946","1920","22314","","102","$575,000","946","37","Margaret J Tracy","Theresa S Twiford","Long & Foster Real Estate, Inc. (LNG183)"
"1001005119","RES","CLS","820-A Washington St #226","Alexandria","Alexandria City, VA","1","1/0","Unit/Flat/Apartment","01/03/18","$257,000","$265,000.00","$0.00","BEARINGS SOUTH","","1","1","0","","No Pool","$437.07","0.96981","0.96981","Long & Foster Real Estate, Inc.","588","1941","22314","BEARINGS SOUTH","81","$265,000","588","81","Janet D Watts","Tiana C Hickman","RE/MAX Premier (RMAX66)"
"1004124827","RES","CLS","800 St Asaph St S #207","Alexandria","Alexandria City, VA","1","1/0","Unit/Flat/Apartment","01/03/18","$383,000","$389,900.00","","ST ASAPH SQUARE","","1","1","0","","Yes - Community","$486.66","0.98230","0.95774","Compass","787","1982","22314","ST ASAPH SQUARE","40","$399,900","787","36","Sue S Goodhart","David C Shotwell","McEnearney Associates, Inc. (MCE1)"
"1004217005","RES","CLS","1221 Portner Rd","Alexandria","Alexandria City, VA","2","1/1","Interior Row/Townhouse","01/04/18","$516,000","$525,000.00","$575.00","NETHERGATE","0.02","0","0","1","","No Pool","","0.98286","0.96629","McEnearney Associates, Inc.","","1983","22314","VIRGINIA VILLAGE","39","$534,000","","16","Nancy Perkins","Jennifer O Halm","TTR Sotheby's International Realty (TTRS6)"
"1004240193","RES","CLS","726 Fayette St #11","Alexandria","Alexandria City, VA","2","1/0","Unit/Flat/Apartment","01/04/18","$295,900","$295,900.00","$0.00","FAYETTE COURT","","2","1","0","","No Pool","$375.03","1.00000","1.00000","The ONE Street Company","789","1950","22314","FAYETTE COURT","72","$295,900","789","29","Kamal M Khan","Gary Foreman","National Realty LLC (NATL1)"
"1004065489","RES","CLS","1617-A Potomac Greens Dr","Alexandria","Alexandria City, VA","2","2/0","End of Row/Townhouse","01/04/18","$533,000","$533,000.00","","OLD TOWN GREENS","","1","1","0","","Yes - Community","$438.32","1.00000","1.00000","KW United","1,216","2000","22314","OLD TOWN GREENS","22","$533,000","1,216","6","Lisa K McCaskill","Traci P Rochon","Weichert, REALTORS (WEI58)"
"1004139919","RES","CLS","1300 Prince St","Alexandria","Alexandria City, VA","2","1/1","End of Row/Townhouse","01/05/18","$665,000","$665,000.00","$420.00","","0.02","0","0","1","","No Pool","$641.89","1.00000","1.00000","TTR Sotheby's International Realty","1,036","1977","22314","","45","$665,000","1,036","4","Dina R Gorrell","Justin Kitsch","Redfin Corporation (REFC1)"
"1004242223","RES","CLS","1134 Colonial Ave","Alexandria","Alexandria City, VA","3","1/1","End of Row/Townhouse","01/05/18","$569,000","$575,000.00","","","0.06","0","0","1","","No Pool","$487.16","0.98957","0.98957","Redfin Corporation","1,824","1930","22314","WESTOVER","92","$575,000","1,168","9","Judith A La Morte","Barry M Kernus","Long & Foster Real Estate, Inc. (LNG85)"
"1004322225","RES","CLS","1121 Portner Rd","Alexandria","Alexandria City, VA","2","2/1","Interior Row/Townhouse","01/05/18","$579,900","$579,900.00","$183.00","NETHERGATE","0.02","0","0","0","","No Pool","$460.24","1.00000","1.00000","Redfin Corporation","1,688","1985","22314","VIRGINIA VILLAGE","37","$579,900","1,260","6","Brad C Kintz","Joseph K Dao","Long & Foster Real Estate, Inc. (LNG183)"
"1001005457","RES","CLS","338 West St S","Alexandria","Alexandria City, VA","2","2/1","Interior Row/Townhouse","01/05/18","$615,000","$615,000.00","","OLD TOWN VILLAGE","","0","0","1","","Yes - Community, Yes - Personal","$392.72","1.00000","1.00000","Long & Foster Real Estate, Inc.","1,566","1997","22314","OLD TOWN VILLAGE","25","$615,000","1,566","32","Richard L Ragan","Rosemary M Thacher","Long & Foster Real Estate, Inc. (LNG183)"
"1004226497","RES","CLS","601 Saint Asaph St N","Alexandria","Alexandria City, VA","2","2/0","End of Row/Townhouse","01/08/18","$815,000","$839,900.00","","PORTNER BREWERY","","0","0","0","","No Pool","$527.17","0.97035","0.97035","Compass","1,546","1999","22314","PORTNER BREWERY","23","$839,900","1,546","16","Robert J Test","Jordan D Stuart","McWilliams/Ballard Inc. (MCWB1)"
"1002609239","RES","CLS","415 Royal St S","Alexandria","Alexandria City, VA","3","2/1","Detached","01/08/18","$682,000","$699,900.00","","","0.07","0","0","1","","No Pool","$402.12","0.97442","0.97442","TTR Sotheby's International Realty","1,696","1840","22314","","182","$699,900","1,696","33","Patrick D O'Keefe","Jeremy G Browne","RE/MAX Gateway, LLC (RMAX110)"
"1003976235","RES","CLS","1343 Chetworth Ct","Alexandria","Alexandria City, VA","2","2/1","Interior Row/Townhouse","01/10/18","$565,000","$567,500.00","$809.00","OLD NORTH PORT","0.02","0","0","1","","No Pool","","0.99559","0.99559","Century 21 Accent Homes","","1977","22314","BASHFORD LANE CLUSTER","45","$567,500","","27","Julia s Martin","Ginger Chamberlain","Long & Foster Real Estate, Inc. (LNG183)"
"1002762801","RES","CLS","1023 Royal St N #301","Alexandria","Alexandria City, VA","1","1/1","Unit/Flat/Apartment","01/10/18","$499,900","$499,900.00","","ABINGDON ROW","","1","1","1","","No Pool","$536.95","1.00000","1.00000","District Partners Real Estate, LLC.","931","2007","22314","","15","$499,900","931","47","Angela Logomasini","Susan L Houghland","Samson Properties (SAMP4)"
"1000082839","RES","CLS","203 Skyhill Rd #3","Alexandria","Alexandria City, VA","2","1/0","Unit/Flat/Apartment","01/11/18","$263,000","$269,900.00","","SEMINARY WALK","","2","1","0","","No Pool","$305.10","0.97443","0.97443","EXP Realty, LLC","862","1959","22314","SEMINARY WALK","63","$269,900","862","125","Shawn A Harris","Jennifer A Thomas","Redfin Corporation (REFC1)"
"1001410541","RES","CLS","225 Lee St S","Alexandria","Alexandria City, VA","2","2/0","Interior Row/Townhouse","01/11/18","$655,000","$699,000.00","","","0.02","0","1","0","","No Pool","$524.84","0.93705","0.90972","McEnearney Associates, Inc.","1,248","1790","22314","","232","$720,000","1,248","58","Peter B Crouch","Wendy Santantonio","McEnearney Associates, Inc. (MCE1)"
"1000082967","RES","CLS","521 Washington St N #302","Alexandria","Alexandria City, VA","3","3/0","Unit/Flat/Apartment","01/11/18","$1,700,000","$1,700,000.00","","BOTTLING HOUSE","","2","2","0","","No Pool","$838.26","1.00000","1.00000","TTR Sotheby's International Realty","2,028","2017","22314","","5","$1,700,000","2,028","80","Robert J Test","Cynthia Byrnes-Golubin","McWilliams/Ballard Inc. (MCWB1)"
"1004159521","RES","CLS","801 Pitt St S #228","Alexandria","Alexandria City, VA","1","1/0","Unit/Flat/Apartment","01/12/18","$396,500","$405,000.00","$0.00","ST ASAPH SQUARE","","1","1","0","","Yes - Community","$480.61","0.97901","0.97901","KW Metro Center","825","1982","22314","ST ASAPH SQUARE","40","$405,000","825","19","Marianne Amanda Jordan","Christina A Wood","RE/MAX Gateway (RMAX152)"
"1001005135","RES","CLS","1100 Quaker Hill Dr #415","Alexandria","Alexandria City, VA","1","1/0","Unit/Flat/Apartment","01/12/18","$242,000","$243,000.00","$66.22","QUAKER HILL","","1","1","0","","Yes - Community","$242.97","0.99588","0.96800","Keller Williams Realty","996","1991","22314","QUAKER HILL","31","$249,999","996","59","Marja R Toan","Jennifer D Young","Fairfax Realty of Tysons (FRX2)"
"1004140139","RES","CLS","322 Commerce St","Alexandria","Alexandria City, VA","2","1/1","Interior Row/Townhouse","01/12/18","$640,000","$649,000.00","","","0.04","0","0","1","","No Pool","$576.58","0.98613","0.98613","McEnearney Associates, Inc.","1,110","1978","22314","","44","$649,000","1,110","24","Paul V Anderson","Sue S Goodhart","McEnearney Associates, Inc. (MCE1)"
"1004124839","RES","CLS","220 Fayette St S","Alexandria","Alexandria City, VA","3","2/1","Interior Row/Townhouse","01/12/18","$890,000","$899,000.00","","","0.04","0","0","1","","No Pool","$659.26","0.98999","0.98999","KW United","1,700","1880","22314","","142","$899,000","1,350","9","Jillian Keck Hogan","John Seggerman","McEnearney Associates, Inc. (MCE1)"
"1000082703","RES","CLS","328 Third St","Alexandria","Alexandria City, VA","3","2/1","End of Row/Townhouse","01/12/18","$1,090,000","$1,135,000.00","","PRINTERS ROW","","1","1","0","","No Pool","$430.49","0.96035","0.94865","TTR Sothebys International Realty","2,532","2013","22314","","9","$1,149,000","2,532","119","Christopher C Tapper","Pamela J Hazen","Redfin Corporation (REFC1)"
"1004106843","RES","CLS","204 Skyhill Rd #7","Alexandria","Alexandria City, VA","2","1/0","Unit/Flat/Apartment","01/16/18","$229,200","$240,000.00","","SEMINARY WALK","","2","1","0","","No Pool","$272.86","0.95500","0.89882","TTR Sotheby's International Realty","840","1959","22314","SEMINARY WALK","63","$255,000","840","37","Aaquil Atkins","VLADIMIR DALLENBACH","Better Homes and Gardens Real Estate Premier (BHG10)"
"1002254873","RES","CLS","918 Queen St","Alexandria","Alexandria City, VA","2","1/0","Twin/Semi-Detached","01/16/18","$549,000","$549,000.00","","","0.03","0","0","0","","No Pool","$567.15","1.00000","0.97168","Baldus Real Estate, Inc.","968","1830","22314","","192","$565,000","968","52","Phyllis G Patterson","Amanda K Schnaithmann","TTR Sotheby's International Realty (TTRS6)"
"1001005161","RES","CLS","517 Queen St","Alexandria","Alexandria City, VA","3","2/1","Interior Row/Townhouse","01/16/18","$1,400,000","$1,499,000.00","","","0.06","0","0","1","","No Pool","$545.17","0.93396","0.93396","Berkshire Hathaway HomeServices PenFed Realty","2,988","1820","22314","","202","$1,499,000","2,568","31","Susan M Lipsky","Susan M Lipsky","Berkshire Hathaway HomeServices PenFed Realty (PFED25)"
"1000083117","RES","CLS","519 Duke St","Alexandria","Alexandria City, VA","2","1/1","Interior Row/Townhouse","01/18/18","$650,000","$680,000.00","","","0.03","0","0","1","","No Pool","$567.19","0.95588","0.88435","Jobin Realty","1,146","1790","22314","","232","$735,000","1,146","74","Anne Steele Bavin","Peter L Merkel","McEnearney Associates, Inc. (MCE1)"
"1000082305","RES","CLS","605 Saint Asaph St S","Alexandria","Alexandria City, VA","2","2/1","Interior Row/Townhouse","01/19/18","$775,603","$795,000.00","","OLD TOWN","0.00","0","0","1","","No Pool","$504.29","0.97560","0.90291","Coldwell Banker Realty","1,538","1840","22314","THOMAS SHELTON ESTATE","182","$859,000","1,538","193","Dina R Gorrell","Katharine Kratovil","Redfin Corporation (REFC1)"
"1004278287","RES","CLS","1250 Washington St #110","Alexandria","Alexandria City, VA","2","2/1","Unit/Flat/Apartment","01/19/18","$619,900","$629,900.00","","PORTO VECCHIO","","2","2","1","","Yes - Community","$380.31","0.98412","0.98412","Long & Foster Real Estate, Inc.","1,630","1983","22314","PORTO VECCHIO","39","$629,900","1,630","16","F. David Billups","Annelise J Smith","Long & Foster Real Estate, Inc. (LNG93)"
"1004070291","RES","CLS","707 Catts Tavern Dr","Alexandria","Alexandria City, VA","3","3/1","Interior Row/Townhouse","01/19/18","$860,000","$885,000.00","$150.00","OLD TOWN GREENS","0.04","0","0","1","","Yes - Community","$344.00","0.97175","0.97175","KW Metro Center","2,500","1998","22314","OLD TOWN GREENS","24","$885,000","2,500","15","Monika Edwards Harrison","Jason Curry","McEnearney Associates, Inc. (MCE3)"
"1004410405","RES","CLS","307 Lee St S","Alexandria","Alexandria City, VA","4","3/1","Detached","01/19/18","$1,875,000","$1,999,000.00","","","0.06","0","0","1","","No Pool","$677.14","0.93797","0.93797","McEnearney Associates, Inc.","2,769","1800","22314","","222","$1,999,000","2,769","2","Phyllis G Patterson","Lauren A Bishop","TTR Sotheby's International Realty (TTRS6)"
"1004176377","RES","CLS","1209 Portner Rd","Alexandria","Alexandria City, VA","2","2/1","Twin/Semi-Detached","01/22/18","$615,000","$619,000.00","$575.00","","0.02","0","0","0","","No Pool","","0.99354","0.99354","Coldwell Banker Realty","","1983","22314","VIRGINIA VILLAGE","39","$619,000","","18","Marc Bertinelli","Melanie M Trainer","Washington Fine Properties, LLC (WFP1)"
"1004430299","RES","CLS","2151 Jamieson Ave #804","Alexandria","Alexandria City, VA","2","2/0","Unit/Flat/Apartment","01/24/18","$410,000","$450,000.00","","CARLYLE TOWERS","","2","2","0","","Yes - Community","$409.18","0.91111","0.91111","McEnearney Associates, Inc.","1,002","1999","22314","","23","$450,000","1,002","1","Suzanne D Morrison","Suzanne D Morrison","McEnearney Associates, Inc. (MCE1)"
"1001745965","RES","CLS","822 Pitt St S","Alexandria","Alexandria City, VA","2","2/0","End of Row/Townhouse","01/24/18","$749,900","$749,900.00","","YATES GARDENS","0.07","0","0","0","","No Pool","$743.95","1.00000","0.92945","TTR Sotheby's International Realty","1,458","1942","22314","YATES GARDENS","80","$806,822","1,008","47","Stuart B Piper","Phyllis G Patterson","Berkshire Hathaway HomeServices PenFed Realty (PFED25)"
"1004230487","RES","CLS","800 Saint Asaph St #307","Alexandria","Alexandria City, VA","1","1/0","Unit/Flat/Apartment","01/25/18","$405,000","$415,777.00","","ST ASAPH SQUARE","","1","1","0","","Yes - Community, Yes - Personal","$514.61","0.97408","0.97408","Long & Foster Real Estate, Inc.","787","1982","22314","ST ASAPH SQUARE","40","$415,777","787","23","Zahid ""Zach"" Abbasi","Debbie Dogrul","RE/MAX Real Estate Connections (RAES2)"
"1004190933","RES","CLS","408 Henry St","Alexandria","Alexandria City, VA","2","1/1","Interior Row/Townhouse","01/26/18","$550,000","$549,900.00","","","0.03","0","0","1","","No Pool","","1.00018","1.00018","D.S.A. Properties & Investments LLC","","2017","22314","","5","$549,900","","7","Deyi S Awadallah","Deyi S Awadallah","D.S.A. Properties & Investments LLC (DSPR1)"
"1000082321","RES","CLS","107 Cameron Mews","Alexandria","Alexandria City, VA","4","4/1","End of Row/Townhouse","01/26/18","$990,000","$1,099,000.00","$1,000.00","CAMERON MEWS","0.06","0","0","1","","No Pool","","0.90082","0.86087","McEnearney Associates, Inc.","","1965","22314","CAMERON MEWS","57","$1,150,000","","178","Colleen Coopersmith","Margaret B Benghauser","McEnearney Associates, Inc. (MCE1)"
"1004107707","RES","CLS","710 S. Fayette St S #12","Alexandria","Alexandria City, VA","2","1/0","Unit/Flat/Apartment","01/26/18","$282,500","$279,900.00","","FAYETTE COURT CONDOMINIUMS","","2","1","0","","No Pool","$358.50","1.00929","0.97414","Weichert, REALTORS","788","1950","22314","FAYETTE COURT","72","$290,000","788","41","Norma E Gants","Cynthia R Baggett","Long & Foster Real Estate, Inc. (LNG183)"
"1004321317","RES","CLS","501 Slaters Ln #1004","Alexandria","Alexandria City, VA","1","1/0","Unit/Flat/Apartment","01/26/18","$298,000","$300,000.00","","MARINA TOWERS","","1","1","0","","Yes - Community","$354.76","0.99333","0.99333","RE/MAX Executives","840","1970","22314","MARINA TOWERS","52","$300,000","840","6","Suzanne D Morrison","Brett D Rice","McEnearney Associates, Inc. (MCE1)"
"1004010361","RES","CLS","618 Alfred St N","Alexandria","Alexandria City, VA","2","1/1","End of Row/Townhouse","01/26/18","$512,000","$519,900.00","","","0.03","0","0","1","","No Pool","$550.54","0.98480","0.98480","Long & Foster Real Estate, Inc.","930","1918","22314","","104","$519,900","930","46","David M Swartzbaugh","Rita M Tassa","Weichert, REALTORS (WEI70)"
"1005468079","RES","CLS","732 Lee St S","Alexandria","Alexandria City, VA","3","2/0","End of Row/Townhouse","01/28/18","$859,000","$859,000.00","","YATES GARDENS","0.06","0","0","0","","No Pool","$662.81","1.00000","1.00000","Long & Foster Real Estate, Inc.","1,944","1940","22314","YATES GARDENS","82","$859,000","1,296","1","Diann S Hicks Carlson","Victoria Hall","Weichert, REALTORS (WEI58)"
"1004268415","RES","CLS","520 John Carlyle St #322","Alexandria","Alexandria City, VA","1","2/0","Unit/Flat/Apartment","01/29/18","$518,000","$530,000.00","$0.00","CONDOS AT CARLYL","","1","2","0","","Yes - Community, Yes - Personal","$508.34","0.97736","0.95926","Redfin Corporation","1,019","2007","22314","CONDOS AT CARLYLE SQUARE","15","$540,000","1,019","16","Tracy L Vitali","Nancy A Gordon","Coldwell Banker Realty (CBRB54)"
"1003231075","RES","CLS","601 Fairfax St N #214","Alexandria","Alexandria City, VA","2","2/1","Unit/Flat/Apartment","01/29/18","$1,290,000","$1,290,000.00","$0.00","THE ORONOCO","","2","2","1","","Yes - Community","$722.28","1.00000","1.00000","McEnearney Associates, Inc.","1,786","2014","22314","","8","$1,290,000","1,786","70","Kira E Elvey","Margaret B Benghauser","Keller Williams Capital Properties (KWCP6)"
"1003218097","RES","CLS","431-A West St N","Alexandria","Alexandria City, VA","3","2/1","Interior Row/Townhouse","01/29/18","$709,900","$709,900.00","","","0.05","0","0","1","","No Pool","$380.03","1.00000","0.96062","Long & Foster Real Estate, Inc.","1,868","1986","22314","","36","$739,000","1,868","89","Christopher R Hayes","Martine M Irmer","McEnearney Associates, Inc. (MCE1)"
"1004117029","RES","CLS","1109 Queen St","Alexandria","Alexandria City, VA","2","2/1","Detached","01/30/18","$702,000","$724,900.00","","","0.05","0","0","1","","No Pool","$562.50","0.96841","0.93600","United Real Estate","1,248","1920","22314","","102","$750,000","1,248","42","Joshua Chapman","Diane G McCawley","Century 21 Redwood Realty (RDWG2)"
"1000082681","RES","CLS","525 Fayette St #612","Alexandria","Alexandria City, VA","2","2/0","Unit/Flat/Apartment","01/30/18","$625,000","$685,000.00","$0.00","THE HENRY","","2","2","0","","No Pool","$416.67","0.91241","0.87413","TTR Sotheby's International Realty","1,500","2008","22314","THE MONARCH","14","$715,000","1,500","170","Christopher R Wynfield","Matthew K Allen","LBT Residential Real Estate LLC (LBT1)"
"1004439741","RES","CLS","611 N. Henry St","Alexandria","Alexandria City, VA","3","3/1","Interior Row/Townhouse","01/30/18","$979,000","$999,900.00","$147.00","SLADE","0.02","0","0","1","","No Pool","$444.39","0.97910","0.97910","McEnearney Associates, Inc.","2,203","2017","22314","","5","$999,900","2,203","28","Roger A Cornell","Sue S Goodhart","McWilliams/Ballard Inc. (MCWB1)"
"1004467253","RES","CLS","1113 Royal St N","Alexandria","Alexandria City, VA","3","3/1","End of Row/Townhouse","01/31/18","$840,000","$840,000.00","$175.00","","0.04","0","0","0","","No Pool","","1.00000","1.00000","McEnearney Associates, Inc.","","1996","22314","HEARTHSTONE","26","$840,000","","17","Jennifer L Walker","Betty N Mallon","McEnearney Associates, Inc. (MCE1)"
"1001404493","RES","CLS","1111 Oronoco St #329","Alexandria","Alexandria City, VA","1","1/0","Unit/Flat/Apartment","01/31/18","$366,888","$364,900.00","","THE MONARCH","","1","1","0","","No Pool","$482.11","1.00545","0.94316","McEnearney Associates, Inc.","761","2008","22314","THE MONARCH","14","$389,000","761","91","Eileen Sheila Marousek","Kristen K Jones","Coldwell Banker Realty (CBRB54)"
"1000118524","RES","CLS","336 Commerce St","Alexandria","Alexandria City, VA","2","1/0","Interior Row/Townhouse","01/31/18","$510,000","$510,000.00","","","0.02","0","0","0","","No Pool","$526.86","1.00000","1.00000","TTR Sotheby's International Realty","968","1946","22314","","76","$510,000","968","0","Phyllis G Patterson","Phyllis G Patterson","TTR Sotheby's International Realty (TTRS6)"
"1004290147","RES","CLS","402-1/2 Royal St S","Alexandria","Alexandria City, VA","2","1/0","Interior Row/Townhouse","01/31/18","$655,000","$649,900.00","","","0.02","0","0","0","","No Pool","$649.80","1.00785","1.00785","McEnearney Associates, Inc.","1,008","1870","22314","","152","$649,900","1,008","20","Phyllis G Patterson","Sue S Goodhart","TTR Sotheby's International Realty (TTRS6)"
"1004263885","RES","CLS","521 Washington N #101","Alexandria","Alexandria City, VA","2","1/1","Unit/Flat/Apartment","01/31/18","$678,700","$699,918.00","","BOTTLING HOUSE","","2","1","1","","No Pool","$668.01","0.96969","0.96971","TTR Sotheby's International Realty","1,016","2017","22314","","5","$699,900","1,016","40","Robert J Test","Donna Mank","McWilliams/Ballard Inc. (MCWB1)"
"1004123313","RES","CLS","200 Fairfax St #6","Alexandria","Alexandria City, VA","1","1/1","Unit/Flat/Apartment","01/31/18","$595,000","$624,900.00","","GREENS STEAM","","1","1","1","","No Pool","$545.37","0.95215","0.95215","RE/MAX Distinctive Real Estate, Inc.","1,091","1790","22314","GREENS STEAM","232","$624,900","1,091","24","Julian T Burke","Anthony P Cammarota","McEnearney Associates, Inc. (MCE1)"
"1004230785","RES","CLS","521 Washington St N #301","Alexandria","Alexandria City, VA","3","2/1","Unit/Flat/Apartment","01/31/18","$1,500,000","$1,499,900.00","","BOTTLING HOUSE","","1","1","1","","No Pool","$847.46","1.00007","1.00007","KW Metro Center","1,770","2017","22314","","5","$1,499,900","1,770","27","Robert J Test","Mitchell S Curtis","McWilliams/Ballard Inc. (MCWB1)"
