,period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
1104035,2021-07-01,2021-09-30,90,neighborhood,1,180085,f,"Virginia Beach, VA - Great Neck",Virginia Beach,Virginia,VA,Single Family Residential,6,526250.0,-0.0396897810218978,0.11269690242097476,495000.0,-0.0030211480362537517,0.04772991850989517,231.1164641809803,-0.005037613473908076,0.12638641528396574,224.09049182152,-0.015585639798715856,0.0924615771500645,104.0,-0.06306306306306309,-0.2463768115942029,27.0,-0.3076923076923077,-0.18181818181818174,110.0,0.0576923076923077,-0.06779661016949157,42.0,0.2,-0.19230769230769226,,,,13.0,-2.0,-14.0,1.0122141640101328,0.0006422806109307455,0.022147865959310727,0.5769230769230769,0.03638253638253631,0.2943143812709029,,,,0.5555555555555556,-0.13675213675213674,0.16161616161616166,"Virginia Beach, VA",47260,2022-01-09 14:29:56
1213751,2021-07-01,2021-09-30,90,neighborhood,1,66168,f,"Chesapeake, VA - Butts Road",Chesapeake,Virginia,VA,Single Family Residential,6,500000.0,0.11123458162018007,0.032098255753947764,562500.0,0.03305785123966931,0.2713300937959091,204.5,0.04454513416811556,0.15223140016909076,192.79132451576504,0.019390836791472358,0.08701487124688499,31.0,-0.13888888888888884,-0.03125,6.0,0.2,-0.25,30.0,-0.0625,-0.25,16.0,0.06666666666666665,-0.3846153846153845,,,,19.0,1.0,-22.0,1.00666063755543,0.004044907372301009,0.01823661109087116,0.5483870967741935,0.0761648745519713,0.3608870967741935,,,,0.6666666666666666,0.2666666666666666,0.29166666666666663,"Virginia Beach, VA",47260,2022-01-09 14:29:56
1219353,2021-07-01,2021-09-30,90,neighborhood,1,92244,f,"Norfolk, VA - Larchmont-Edgewater",Norfolk,Virginia,VA,Single Family Residential,6,443000.0,0.003397508493771184,0.1659428872220028,410000.0,0.05128205128205132,0.05155167991792764,203.30368487928845,0.007355619446960394,0.1814852441678352,189.4736842105264,-0.034832535885167326,0.06962013729977135,41.0,-0.3387096774193549,-0.06818181818181823,11.0,-0.2142857142857143,0.10000000000000007,47.0,-0.1454545454545455,0.34285714285714275,26.0,-0.03703703703703709,0.3684210526315789,,,,15.5,-0.5,-14.0,1.017423437432578,0.0037405491819666454,0.02982575239602325,0.5121951219512195,-0.003933910306844978,0.3076496674057649,,,,0.3636363636363637,0.006493506493506496,0.2636363636363637,"Virginia Beach, VA",47260,2022-01-09 14:29:56
1402056,2021-07-01,2021-09-30,90,neighborhood,1,62547,f,"Hampton, VA - Briarfield",Hampton,Virginia,VA,Single Family Residential,6,194000.0,0.047092160302253376,0.015706806282722585,227450.0,0.019955156950672626,0.09508907077515638,142.6872770511296,0.006205097972601603,0.17165099948399254,139.0134529147982,-0.019371848279562287,0.11306633678676348,61.0,0.05172413793103448,0.4186046511627908,20.0,-0.04761904761904767,0.25,54.0,-0.1428571428571429,-0.018181818181818188,24.0,-0.1428571428571429,-0.11111111111111116,,,,21.0,-2.0,-8.0,1.0057369222692447,-0.002939814171710076,0.014301088318071531,0.5081967213114754,-0.043527416619559056,0.15935951200914986,,,,0.35,-0.07857142857142857,0.09999999999999996,"Virginia Beach, VA",47260,2022-01-09 14:29:56
1406423,2021-07-01,2021-09-30,90,neighborhood,1,62006,f,"Chesapeake, VA - Indian River",Chesapeake,Virginia,VA,Single Family Residential,6,258500.0,0.0,0.07730777245259433,265000.0,0.06000000000000005,0.08207431604736627,166.22622861427303,-0.007013168944009607,0.08896615048425137,169.42090395480227,0.02679335730183197,0.08700451977401123,116.0,-0.033333333333333326,-0.049180327868852514,34.0,-0.2608695652173913,0.2592592592592593,130.0,-0.0972222222222222,0.2871287128712872,47.0,-0.07843137254901966,0.6785714285714286,,,,16.5,2.5,-0.5,1.0177930293651791,-0.0004808146435901772,0.017026958490867772,0.6379310344827586,0.021264367816091975,0.28547201808931605,,,,0.2352941176470588,-0.2864450127877238,-0.24618736383442266,"Virginia Beach, VA",47260,2022-01-09 14:29:56
1779260,2021-07-01,2021-09-30,90,neighborhood,1,64158,f,"Norfolk, VA - Park Place",Norfolk,Virginia,VA,Single Family Residential,6,260000.0,-0.007633587786259555,0.2682926829268293,261000.0,0.025540275049115824,0.3384615384615384,140.7469342251951,-0.011420342942082051,0.17639228606133228,148.96373056994818,0.03090845633497552,0.2409540530124608,39.0,0.11428571428571432,0.6956521739130433,9.0,-0.5,2.0,37.0,-0.11904761904761907,0.9473684210526316,8.0,0.0,-0.5,,,,16.0,0.0,-13.0,1.0231786277889243,0.0005850976430510356,0.037569691807993195,0.5641025641025641,-0.09304029304029304,0.4771460423634337,,,,0.2222222222222222,-0.16666666666666669,-0.1111111111111111,"Virginia Beach, VA",47260,2022-01-09 14:29:56
1806096,2021-07-01,2021-09-30,90,neighborhood,1,179819,f,"Chesapeake, VA - Plymouth Park",Chesapeake,Virginia,VA,Single Family Residential,6,191000.0,0.015957446808510634,0.03243243243243232,180000.0,0.0005558643690939392,0.02857142857142847,161.55088852988692,-0.006462035541195399,0.17534295038113454,165.045871559633,-0.01389454101505716,0.020678416224046314,25.0,-0.07407407407407407,0.3157894736842107,9.0,-0.09999999999999996,0.2857142857142858,32.0,-0.08571428571428576,1.9090909090909087,14.0,-0.2222222222222222,3.666666666666667,,,,23.0,5.0,16.0,0.9968308352482712,0.0019775481424791908,0.021625899722993225,0.48,0.03555555555555556,0.32210526315789473,,,,0.3333333333333333,-0.06666666666666671,-0.09523809523809523,"Virginia Beach, VA",47260,2022-01-09 14:29:56
2044893,2021-07-01,2021-09-30,90,neighborhood,1,547644,f,"Arlington, VA - North Arlington",Arlington,Virginia,VA,Single Family Residential,6,1050000.0,-0.11016949152542377,-0.07529722589167764,1099994.5,0.00456118721461185,-0.04348304347826082,443.2624113475178,0.007206762199310156,0.04245746098560877,454.3425343482037,0.01659142060410557,0.06431803864404627,243.0,-0.173469387755102,-0.12589928057553956,69.0,0.04545454545454541,0.11290322580645153,244.0,-0.05058365758754868,-0.12857142857142856,133.0,0.12711864406779672,-0.10738255033557044,,,,23.5,3.5,-4.5,1.0026201531125558,-0.005598291131085453,-0.012149926153123936,0.3909465020576132,-0.054631729234903836,-0.05869378571217099,,,,0.5217391304347826,0.18840579710144928,-0.02664796633941091,"Washington, DC",47894,2022-01-09 14:29:56
2058827,2021-07-01,2021-09-30,90,neighborhood,1,551173,f,"Chester, VA - The Highlands",Chester,Virginia,VA,Single Family Residential,6,547000.0,0.03207547169811331,0.21975694057308506,529975.0,0.013433406635433576,0.2485423169797987,156.0348783845801,0.023588802202845427,0.2356829373865761,145.11927073080932,-0.024028157261198224,0.05999909051524565,26.0,-0.21212121212121213,-0.1875,6.0,1.0,0.2,20.0,0.05263157894736836,0.25,7.0,0.3999999999999999,0.16666666666666674,,,,12.0,4.0,-33.0,1.014447699389561,-0.0031504093655139176,0.023761026093891413,0.5384615384615384,-0.06759906759906764,0.22596153846153846,,,,0.5,-0.16666666666666666,-0.30000000000000004,"Richmond, VA",40060,2022-01-09 14:29:56
2139185,2021-07-01,2021-09-30,90,neighborhood,1,57135,f,"Newport News, VA - Ivy Farms",Newport News,Virginia,VA,Single Family Residential,6,240500.0,0.002083333333333437,0.11860465116279073,240000.0,0.006922592825676421,0.09090909090909081,149.70059880239518,-0.0968063872255489,0.17248410949831872,145.04328798401673,-0.019294483641072776,0.10383149713557184,25.0,0.0,0.6666666666666667,10.0,0.0,1.0,30.0,0.0,0.7647058823529411,8.0,-0.2,0.3333333333333333,,,,19.0,5.5,4.0,1.0274002573341934,0.004125031931275336,0.03603653004478158,0.72,0.0,0.2533333333333333,,,,0.3,0.0,-0.3,"Virginia Beach, VA",47260,2022-01-09 14:29:56
2215472,2021-07-01,2021-09-30,90,neighborhood,1,87229,f,"Richmond, VA - Bellevue",Richmond,Virginia,VA,Single Family Residential,6,439600.0,-0.011579539066891464,0.17226666666666654,399000.0,0.010126582278481068,0.11142061281337057,272.519371546693,0.018438488794420227,0.108694471857554,249.36762225969647,0.002542372881356059,0.0746391134297848,20.0,-0.2,-0.13043478260869568,7.0,-0.2222222222222222,0.3999999999999999,22.0,-0.043478260869565195,0.2941176470588236,6.0,0.2,2.0,,,,6.0,0.0,0.0,1.0613603426588647,-0.02714271004626068,0.012148359215683692,0.7,-0.020000000000000014,-0.2565217391304349,,,,0.5714285714285714,-0.31746031746031744,-0.22857142857142865,"Richmond, VA",40060,2022-01-09 14:29:56
2245130,2021-07-01,2021-09-30,90,neighborhood,1,87232,f,"Richmond, VA - Far West End",Richmond,Virginia,VA,Single Family Residential,6,550000.0,-0.009009009009009028,-0.01389511429852086,559975.0,0.17889473684210522,0.11995,280.8676307007786,-0.029086635236916455,0.07778526480158865,276.2624516858876,0.005324588175886546,0.0831035396857771,103.0,-0.23134328358208955,-0.028301886792452824,33.0,0.1785714285714286,-0.2666666666666667,92.0,0.01098901098901095,-0.2520325203252033,22.0,0.375,-0.29032258064516125,,,,13.0,2.0,5.0,1.0609370301930616,-0.002385573678977515,0.03951357568566638,0.5728155339805825,-0.07643819736270108,0.025645722659827785,,,,0.7272727272727274,0.2272727272727273,-0.0505050505050505,"Richmond, VA",40060,2022-01-09 14:29:56
2267875,2021-07-01,2021-09-30,90,neighborhood,1,179388,f,"Virginia Beach, VA - Little Neck",Virginia Beach,Virginia,VA,Single Family Residential,6,420500.0,-0.010588235294117676,0.07407407407407418,422449.5,-0.005884221673138068,0.11170921052631576,218.47589135353496,0.014352352712840856,0.1718184544773076,221.78279505582137,0.03228963796218154,0.1364150418660286,102.0,-0.11304347826086958,-0.18400000000000005,25.0,-0.3055555555555556,-0.32432432432432434,100.0,-0.07407407407407407,-0.029126213592233,36.0,0.02857142857142847,0.058823529411764726,,,,19.0,4.0,-11.0,1.0150874025043577,-0.00212762165751168,0.023011685039059596,0.5588235294117647,-0.032480818414322266,0.2548235294117647,,,,0.4,-0.0444444444444444,-0.0864864864864865,"Virginia Beach, VA",47260,2022-01-09 14:29:56
2282747,2021-07-01,2021-09-30,90,neighborhood,1,179158,f,"Virginia Beach, VA - Lago Mar",Virginia Beach,Virginia,VA,Single Family Residential,6,635000.0,0.0031595576619274372,0.16567232675539234,624750.0,0.008474576271186418,-0.06397412837975003,209.1926929876252,-0.023767432724415616,0.19267975980941565,207.85396759758385,-0.010615114235500878,0.08916907148967312,25.0,0.08695652173913036,0.25,3.0,0.5,2.0,11.0,-0.3125,0.8333333333333331,1.0,-0.8,-0.75,,,,12.0,0.0,-15.0,1.0130182903536442,0.0008255816395092985,0.009019705347079299,0.52,0.041739130434782605,0.27,,,,0.3333333333333333,-0.16666666666666669,-0.6666666666666667,"Virginia Beach, VA",47260,2022-01-09 14:29:56
2344909,2021-07-01,2021-09-30,90,neighborhood,1,57609,f,"Suffolk, VA - Chuckatuck",Suffolk,Virginia,VA,Single Family Residential,6,341000.0,-0.052909318150256894,0.03333333333333344,338587.5,0.026022727272727364,-0.0034656306564831985,159.9587765957447,-0.0016265927918981404,0.13399346979483284,164.01263297872342,0.034910606882404105,0.13715425531914893,123.0,-0.09558823529411764,0.016528925619834656,45.0,0.7307692307692307,0.6666666666666667,102.0,-0.09734513274336287,-0.0892857142857143,38.0,-0.2549019607843137,-0.2692307692307693,,,,26.0,2.0,-6.5,1.021126909962589,-0.004293352598329747,0.021868593437323613,0.6260162601626016,-0.05045432807269257,0.24585097090640326,,,,0.3555555555555556,0.1247863247863248,-0.16296296296296292,"Virginia Beach, VA",47260,2022-01-09 14:29:56
2455303,2021-07-01,2021-09-30,90,neighborhood,1,181731,f,"Hampton, VA - Hampton Roads Center",Hampton,Virginia,VA,Single Family Residential,6,264900.0,-0.009719626168224305,0.14675324675324686,264900.0,-0.00037735849056608206,0.0878850102669404,159.37687237866987,0.010879682419048242,0.1377998191384222,156.46258503401359,0.016726022479290226,0.13541450170900493,67.0,0.046875,0.5227272727272727,22.0,-0.043478260869565195,1.75,69.0,-0.07999999999999996,1.0294117647058822,12.0,-0.3684210526315789,0.5,,,,15.5,1.5,-4.0,1.0241169203617193,-0.006230834136621288,0.027774766011206545,0.746268656716418,-0.0037313432835820452,0.3599050203527816,,,,0.3636363636363637,-0.027667984189723327,0.11363636363636365,"Virginia Beach, VA",47260,2022-01-09 14:29:56
